candle_begin_time,open,high,low,close,volume
2018-09-25 09:30:00,5.1697,5.1798,5.14216492,5.1798,36940.71522822
2018-09-25 09:35:00,5.1798,5.19,5.165,5.1715,15731.626355519997
2018-09-25 09:40:00,5.1722,5.1722,5.1644,5.1644,3398.66572355
2018-09-25 09:45:00,5.164,5.1653,5.12,5.1469,63313.84326009
2018-09-25 09:50:00,5.1485,5.1644,5.1403,5.1643,19743.38369218
2018-09-25 09:55:00,5.1677,5.1744,5.1558,5.165,21512.54016848
2018-09-25 10:00:00,5.166,5.18,5.1629,5.1731,4356.643067489998
2018-09-25 10:05:00,5.1723,5.1762,5.1462,5.1462,20841.83887189
2018-09-25 10:10:00,5.1498,5.1624,5.14,5.1624,31614.726591230006
2018-09-25 10:15:00,5.1623,5.1676,5.14,5.14,11976.50568663
2018-09-25 10:20:00,5.14,5.157,5.1323,5.1353,21265.34311109
2018-09-25 10:25:00,5.1379,5.155,5.13,5.1402,24401.820664900002
2018-09-25 10:30:00,5.1334,5.16,5.1325,5.16,9421.32164435
2018-09-25 10:35:00,5.1589,5.1589,5.147,5.148,3584.194501
2018-09-25 10:40:00,5.148,5.1481,5.148,5.148,26496.16474317
2018-09-25 10:45:00,5.1481,5.1739,5.1481,5.1648,22448.7758276
2018-09-25 10:50:00,5.1642,5.178,5.1624,5.1657,11699.70422286
2018-09-25 10:55:00,5.1655,5.1752,5.1617,5.1699,9181.67710627
2018-09-25 11:00:00,5.17,5.17,5.1508,5.1596,20492.99308836
2018-09-25 11:05:00,5.1565,5.1565,5.1332,5.1369,32531.40858057
2018-09-25 11:10:00,5.1346,5.1471,5.1301,5.1301,10528.594573649998
2018-09-25 11:15:00,5.1321,5.1454,5.1321,5.1392,4425.67493783
2018-09-25 11:20:00,5.1472,5.159,5.1472,5.1511,2321.0
2018-09-25 11:25:00,5.1538,5.1547,5.1447,5.1447,4675.19038167
2018-09-25 11:30:00,5.1488,5.1488,5.1,5.1053,40427.10362233
2018-09-25 11:35:00,5.1076,5.1363,5.1,5.1,31556.74370784
2018-09-25 11:40:00,5.1001,5.1247,5.081,5.1167,34694.72832356
2018-09-25 11:45:00,5.1199,5.1272,5.1154,5.1204,8516.33634017
2018-09-25 11:50:00,5.1209,5.1416,5.11103385,5.136,14791.69863432
2018-09-25 11:55:00,5.142,5.1506,5.1346,5.1452,23057.15838354
2018-09-25 12:00:00,5.1452,5.1601,5.1452,5.1505,5203.471145320002
2018-09-25 12:05:00,5.1579,5.1662,5.1579,5.16,14241.87294718
2018-09-25 12:10:00,5.16,5.1601,5.1464,5.1465,12002.00443264
2018-09-25 12:15:00,5.1466,5.1701,5.1466,5.17,13500.17314616
2018-09-25 12:20:00,5.1701,5.1724,5.1599,5.1678,10542.452381710002
2018-09-25 12:25:00,5.1722,5.1722,5.1610000000000005,5.1698,1024.0334107699996
2018-09-25 12:30:00,5.1719,5.2067,5.1716,5.2058,38742.19344031
2018-09-25 12:35:00,5.2058,5.2064651,5.1861,5.1871,21719.23952991
2018-09-25 12:40:00,5.1871,5.2042,5.1808,5.2042,10409.28340987
